token,log_ratio,spam_pct,ham_pct
enron,-8.084972450901482,6.3413953606351545e-06,0.020579923322662865
ect,-7.252344587933648,1.2682790721270309e-05,0.017900619517660084
kaminski,-7.043267620127979,6.3413953606351545e-06,0.0072616797587811205
vince,-6.939726941187139,1.2682790721270309e-05,0.013094832351900381
crenshaw,-5.5927490832488616,6.3413953606351545e-06,0.0017024912796244083
stinson,-5.562605819054961,6.3413953606351545e-06,0.0016519383776432237
713,-5.555671665465962,6.3413953606351545e-06,0.0016405232062281176
ees,-5.391865508594847,6.3413953606351545e-06,0.0013926509126429545
gibner,-5.0635565826127955,6.3413953606351545e-06,0.0010029043457557578
hou,-5.027316067434527,5.707255824571639e-05,0.008704883573405259
shirley,-4.90342599912732,1.9024186081905462e-05,0.002563521352078132
wharton,-4.8704453183974605,6.3413953606351545e-06,0.0008267845582084052
derivatives,-4.840413031298586,6.3413953606351545e-06,0.0008023234766046062
zimin,-4.817801584912038,6.3413953606351545e-06,0.0007843853500951536
dinner,-4.658091474504631,6.3413953606351545e-06,0.0006686028971705051
tanya,-4.6408708767529605,6.3413953606351545e-06,0.000657187725755399
dpc,-4.623348526060758,6.3413953606351545e-06,0.0006457725543402928
vasant,-4.618285224104211,6.3413953606351545e-06,0.0006425110767931196
anjam,-4.550017252975208,6.3413953606351545e-06,0.000600111868679868
rice,-4.51264266077846,1.2682790721270309e-05,0.0011561937904728979
cera,-4.511231227940052,6.3413953606351545e-06,0.0005772815258496557
forwarded,-4.494854927466193,2.5365581442540618e-05,0.002271619111606131
curve,-4.473816792089794,6.3413953606351545e-06,0.0005560819217930299
ena,-4.467934422186728,6.3413953606351545e-06,0.0005528204442458567
mseb,-4.375275591704023,6.3413953606351545e-06,0.0005038982810382588
dale,-4.349044579555153,6.3413953606351545e-06,0.000490852370849566
curves,-4.325514082144959,6.3413953606351545e-06,0.0004794371994344598
gt,-4.31525758197777,6.3413953606351545e-06,0.0004745449831137
ebs,-4.280288984140023,6.3413953606351545e-06,0.000458237595377834
vkamins,-4.265951820993616,6.3413953606351545e-06,0.0004517146402834876
